bin_center,accuracy,confidence,count
0.15000000000000002,0.0,0.19393244347374533,2
0.25,0.3217821782178218,0.2616410686265666,202
0.35000000000000003,0.5025773195876289,0.3525784661204909,388
0.45,0.6269430051813472,0.44701027187047004,386
0.55,0.680161943319838,0.5427550152411943,247
0.6500000000000001,0.8495575221238938,0.6472304492440375,113
0.75,0.9469026548672567,0.7508738120218108,113
0.8500000000000001,0.9792746113989638,0.8559613253372244,193
0.95,0.9972144846796658,0.954473090566401,359
